,sell_type,car_type,year,price,km
598,Ocasion,Model 3,2021,38200.0,31.0
599,Ocasion,Model 3,2019,31200.0,55.0
600,Ocasion,Model 3,2019,33000.0,51.0
601,Ocasion,Model 3,2020,33200.0,63.0
602,Ocasion,Model 3,2023,35500.0,36.0
603,Ocasion,Model 3,2023,36400.0,28.0
604,Ocasion,Model 3,2024,48500.0,6.0
605,Ocasion,Model 3,2021,29300.0,40.0
606,Ocasion,Model 3,2020,30100.0,56.0
607,Ocasion,Model 3,2021,30600.0,50.0
608,Ocasion,Model 3,2020,31800.0,22.0
609,Ocasion,Model 3,2020,32000.0,78.0
610,Ocasion,Model 3,2021,33300.0,90.0
611,Ocasion,Model 3,2021,37900.0,43.0
612,Ocasion,Model 3,2020,26500.0,54.0
613,Ocasion,Model 3,2019,29400.0,65.0
614,Ocasion,Model 3,2021,29600.0,40.0
615,Ocasion,Model 3,2020,32000.0,46.0
616,Ocasion,Model 3,2019,32400.0,45.0
617,Ocasion,Model 3,2021,33400.0,88.0
618,Ocasion,Model 3,2020,34200.0,30.0
619,Ocasion,Model 3,2021,35100.0,74.0
620,Ocasion,Model 3,2023,45100.0,12.0
621,Ocasion,Model 3,2023,46500.0,28.0
622,Ocasion,Model 3,2021,28600.0,136.0
623,Ocasion,Model 3,2022,29700.0,68.0
624,Ocasion,Model 3,2021,33100.0,64.0
625,Ocasion,Model 3,2020,34200.0,38.0
626,Ocasion,Model 3,2023,35100.0,26.0
627,Ocasion,Model 3,2021,36700.0,42.0
628,Ocasion,Model 3,2024,41900.0,13.0
629,Ocasion,Model X,2020,54100.0,91.0
630,Ocasion,Model X,2019,52600.0,95.0
631,Ocasion,Model X,2019,55000.0,59.0
632,Ocasion,Model X,2019,44200.0,114.0
633,Ocasion,Model X,2018,43200.0,91.0
634,Ocasion,Model X,2020,47000.0,130.0
635,Ocasion,Model X,2019,48500.0,75.0
636,Ocasion,Model X,2019,49000.0,98.0
637,Ocasion,Model X,2018,49900.0,52.0
638,Ocasion,Model X,2019,51400.0,84.0
639,Ocasion,Model X,2019,53800.0,64.0
640,Ocasion,Model X,2020,55500.0,124.0
641,Ocasion,Model X,2019,56000.0,55.0
642,Ocasion,Model Y,2022,46400.0,20.0
643,Ocasion,Model Y,2022,48400.0,14.0
644,Ocasion,Model Y,2023,44300.0,10.0
645,Nuevo,Model S,2024,97475.0,0.0
646,Nuevo,Model S,2024,103425.0,99.0
647,Nuevo,Model S,2024,103425.0,0.0
648,Nuevo,Model S,2024,112475.0,0.0
649,Nuevo,Model S,2024,112645.0,2.0
650,Nuevo,Model S,2024,90655.0,1.0
651,Nuevo,Model S,2024,89825.0,2.0
652,Nuevo,Model S,2024,90695.0,1.0
653,Nuevo,Model S,2024,93265.0,1.0
654,Nuevo,Model S,2024,93265.0,1.0
655,Nuevo,Model S,2024,90755.0,2.0
656,Nuevo,Model S,2024,92465.0,4.0
657,Nuevo,Model S,2024,116335.0,313.0
658,Nuevo,Model 3,2024,42175.0,0.0
659,Nuevo,Model 3,2024,42175.0,0.0
660,Nuevo,Model 3,2024,42675.0,0.0
661,Nuevo,Model 3,2024,43525.0,0.0
662,Nuevo,Model 3,2024,45975.0,0.0
663,Nuevo,Model 3,2024,46475.0,0.0
664,Nuevo,Model 3,2024,47675.0,0.0
665,Nuevo,Model 3,2024,49975.0,0.0
666,Nuevo,Model 3,2024,49975.0,0.0
667,Nuevo,Model 3,2024,51675.0,0.0
668,Nuevo,Model 3,2024,53025.0,0.0
669,Nuevo,Model 3,2024,58475.0,0.0
670,Nuevo,Model 3,2024,59675.0,0.0
671,Nuevo,Model 3,2024,42275.0,0.0
672,Nuevo,Model 3,2024,42275.0,0.0
673,Nuevo,Model 3,2024,43475.0,0.0
674,Nuevo,Model 3,2024,43625.0,0.0
675,Nuevo,Model 3,2024,43975.0,0.0
676,Nuevo,Model 3,2024,47275.0,0.0
677,Nuevo,Model 3,2024,48475.0,0.0
678,Nuevo,Model 3,2024,48975.0,0.0
679,Nuevo,Model 3,2024,51275.0,0.0
680,Nuevo,Model 3,2024,51275.0,0.0
681,Nuevo,Model 3,2024,52475.0,0.0
682,Nuevo,Model 3,2024,59775.0,0.0
683,Nuevo,Model 3,2024,42275.0,0.0
684,Nuevo,Model 3,2024,42275.0,63.0
685,Nuevo,Model 3,2024,43625.0,0.0
686,Nuevo,Model 3,2024,43975.0,0.0
687,Nuevo,Model 3,2024,49385.0,0.0
688,Nuevo,Model 3,2024,49525.0,0.0
689,Nuevo,Model 3,2024,51275.0,0.0
690,Nuevo,Model 3,2024,56995.0,1.0
691,Nuevo,Model 3,2024,57285.0,815.0
692,Nuevo,Model 3,2024,57375.0,0.0
693,Nuevo,Model 3,2024,57575.0,13.0
694,Nuevo,Model 3,2024,49755.0,4.0
695,Nuevo,Model 3,2024,51275.0,0.0
696,Nuevo,Model 3,2024,52975.0,0.0
697,Nuevo,Model 3,2024,59775.0,0.0
698,Nuevo,Model 3,2024,40815.0,2.0
