,car_type,year,price,km
379,TESLA - MODEL 3,2019,24.900 €,88.000 kms
380,TESLA - MODEL S,2014,23.000 €,485.000 kms
381,TESLA MODEL 3,2022,36.500 €,45.700 kms
382,TESLA - MODEL S 60,2014,22.990 €,148.000 kms
383,TESLA - MODEL S 100D 4WD,2017,34.500 €,85.000 kms
384,TESLA - MODEL 3,2021,25.500 €,240.000 kms
385,TESLA MODEL S,2017,19.900 €,195.000 kms
386,TESLA MODEL 3,2021,27.650 €,19.360 kms
387,TESLA - MODEL Y,2023,39.900 €,46.686 kms
388,TESLA - MODEL 3,2020,28.890 €,90.000 kms
389,TESLA MODEL 3,2023,32.900 €,29.000 kms
390,TESLA - MODEL X,2016,43.000 €,64.000 kms
391,TESLA - MODEL S 75D 4WD,2019,22.800 €,189.000 kms
392,TESLA - MODEL 3,2020,27.500 €,120.000 kms
393,TESLA - MODEL 3,2023,26.000 €,20.000 kms
394,TESLA - MODEL 3,2021,32.490 €,36.000 kms
395,NISSAN - JUKE,2011,6.900 €,224.000 kms
396,TESLA MODEL S,2017,18.500 €,380.000 kms
397,FORD - MUSTANG,2008,30.000 €,87.000 kms
398,TESLA - MODEL S 75D 4WD,2019,29.900 €,138.000 kms
399,VOLVO - XC60,2018,29.500 €,103.000 kms
400,TESLA - MODEL 3,2021,24.700 €,41.600 kms
401,TESLA - MODEL 3,2021,31.500 €,49.000 kms
402,TESLA - MODEL 3,2019,22.900 €,128.000 kms
403,SUBARU LEVORG,2016,14.500 €,175.000 kms
404,TESLA - MODEL X 100D 4WD,2019,42.999 €,110.000 kms
405,TESLA - MODEL 3,2023,39.999 €,9.500 kms
406,HYUNDAI - KONA,2020,22.000 €,75.000 kms
