car_type,price,Ubicación,Tipo de vehículo,year,km,Link
TESLA Model Y Gran Autonomia 4WD,44.490 €,Tarragona,Eléctrico,2022,42.500 km,/tesla-model-y-gran-autonomia-4wd-5p-electrico-hibrido-2021-en-tarragona-59507241-covo.aspx
TESLA Model Y Gran Autonomia 4WD,39.500 €,Barcelona,Eléctrico,2022,65.000 km,/tesla-model-y-gran-autonomia-4wd-5p-electrico-hibrido-2021-en-barcelona-59548568-covo.aspx
TESLA Model S 90D 4WD,27.995 €,Córdoba,Eléctrico,2017,114.000 km,/tesla-model-s-90d-4wd-5p-electrico-/-hibrido-2017-en-cordoba-58755791-covo.aspx
TESLA Model 3 Estandar Plus RWD Shanghai Build,26.900 €,Madrid,Eléctrico,2021,88.000 km,/tesla-model-3-estandar-plus-rwd-shanghai-build-4p-electrico-/-hibrido-2020-en-madrid-59356280-covo.aspx
TESLA Model 3 Estandar Plus RWD,27.490 €,Madrid,Eléctrico,2020,27.277 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2019-en-madrid-59497726-covo.aspx
TESLA Model S 90D 4WD,23.000 €,Alicante,Eléctrico,2017,207.800 km,/tesla-model-s-90d-4wd-5p-electrico-hibrido-2017-en--59118503-covo.aspx
TESLA Model S 90D 4WD,19.900 €,Valencia,Eléctrico,2017,195.000 km,/tesla-model-s-90d-4wd-5p-electrico-hibrido-2017-en-valencia-59224105-covo.aspx
TESLA Model S 75,24.990 €,Albacete,Eléctrico,2016,155.000 km,/tesla-model-s-75-5p-electrico-/-hibrido-2017-en-albacete-58849530-covo.aspx
TESLA Model X 90D 4WD,41.000 €,Baleares,Eléctrico,2017,35.000 km,/tesla-model-x-90d-4wd-5p-electrico-/-hibrido-2017-en-baleares-59336425-covo.aspx
TESLA Model X 100D 4WD,56.890 €,Sevilla,Eléctrico,2018,43.815 km,/tesla-model-x-100d-4wd-5p-electrico-hibrido-2018-en-sevilla-59269622-covo.aspx
TESLA Model S P100D 4WD,45.990 €,Alicante,Eléctrico,2017,49.000 km,/tesla-model-s-p100d-4wd-5p-electrico-/-hibrido-2017-en-alicante-58942675-covo.aspx
TESLA Model 3 Gran Autonomia AWD,27.499 €,Zaragoza,Eléctrico,2022,107.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2022-en-zaragoza-58959723-covo.aspx
TESLA Model S Ludicrous Performance 4WD,48.990 €,Madrid,Eléctrico,2020,38.091 km,/tesla-model-s-ludicrous-performance-4wd-5p-electrico-/-hibrido-2020-en-madrid-59478938-covo.aspx
TESLA Model 3 RWD,31.820 €,Vizcaya,Eléctrico,2022,30.797 km,/tesla-model-3-rwd-4p-electrico-/-hibrido-2022-en-vizcaya-59456636-covo.aspx
TESLA Model 3 Gran Autonomia AWD,41.500 €,Lugo,Eléctrico,2022,29.458 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2022-en-lugo-57489788-covo.aspx
TESLA Model S 75D 4WD,32.390 €,Alicante,Eléctrico,2018,76.210 km,/tesla-model-s-75d-4wd-5p-electrico-/-hibrido-2018-en-alicante-58797876-covo.aspx
TESLA Model 3 Gran Autonomia AWD 4p.,35.500 €,Tarragona,Eléctrico,2021,65.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2021-en-tarragona-58394253-covo.aspx
TESLA Model 3 Performance AWD,28.900 €,Barcelona,Eléctrico,2019,90.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2019-en-barcelona-58154641-covo.aspx
TESLA Model X 100D 4WD,46.000 €,Barcelona,Eléctrico,2018,65.000 km,/tesla-model-x-100d-4wd-5p-electrico-hibrido-2018-en-barcelona-59168312-covo.aspx
TESLA Model 3 Gran Autonomia 4WD,31.890 €,Alicante,Eléctrico,2021,98.226 km,/tesla-model-3-gran-autonomia-4wd-4p-electrico-/-hibrido-2021-en-alicante-58415529-covo.aspx
TESLA Model X 75D 4WD,34.990 €,Barcelona,Eléctrico,2019,119.000 km,/tesla-model-x-75d-4wd-5p-electrico-/-hibrido-2018-en-barcelona-58718927-covo.aspx
TESLA Model S 75,37.000 €,A Coruña,Eléctrico,2017,61.000 km,/tesla-model-s-75-5p-electrico-/-hibrido-2017-en-a-coruna-57836043-covo.aspx
TESLA Model 3 Estandar Plus RWD,32.980 €,Sevilla,Eléctrico,2021,63.776 km,/tesla-model-3-estandar-plus-rwd-4p-electrico-hibrido-2021-en-sevilla-59393818-covo.aspx
TESLA Model S Gran Autonomia Plus 4WD,34.500 €,Cantabria,Eléctrico,2020,55.000 km,/tesla-model-s-gran-autonomia-plus-4wd-5p-electrico-/-hibrido-2020-en-cantabria-59201229-covo.aspx
TESLA Model 3 Performance AWD,42.000 €,Barcelona,Eléctrico,2023,31.000 km,/tesla-model-3-performance-awd-4p-electrico-hibrido-2023-en-barcelona-59338930-covo.aspx
TESLA Model Y Traccion Trasera RWD,36.500 €,Madrid,Eléctrico,2024,10.778 km,/tesla-model-y-traccion-trasera-rwd-5p-electrico-hibrido-2021-en-madrid-59392665-covo.aspx
TESLA Model X Performance,58.590 €,Madrid,Eléctrico,2020,34.162 km,/tesla-model-x-performance-5p-electrico-/-hibrido-2019-en-madrid-59539207-covo.aspx
TESLA Model S 90D 4WD 5p.,25.999 €,Madrid,Eléctrico,2017,260.000 km,/tesla-model-s-90d-4wd-5p-electrico-hibrido-2017-en-madrid-58999473-covo.aspx
TESLA Model 3 Gran Autonomia AWD,29.990 €,Jaén,Eléctrico,2019,90.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-/-hibrido-2019-en-jaen-57340890-covo.aspx
TESLA Model S P100D 4WD,44.900 €,Barcelona,Eléctrico,2018,107.000 km,/tesla-model-s-p100d-4wd-5p-electrico-/-hibrido-2018-en-barcelona-59466020-covo.aspx
TESLA Model 3 Gran Autonomia AWD,24.850 €,Barcelona,Eléctrico,2020,128.000 km,/tesla-model-3-gran-autonomia-awd-4p-electrico-hibrido-2019-en-barcelona-59504048-covo.aspx
